Diameter,Sadness,Depth,BigSad,d/D,Pain,CWS,What even
10.7160216,16.68256088,0.68754062,0.281309,0.07289857,0.03515857,9.45232277,0.691259536
6.92582522,5.96941296,0.82860705,0.18733049,0.12278923,0.03522378,15.90424631,0.798336817
11.06552714,3.846568468,1.729177799,0.262169184,0.158178102,0.035323086,17.72383852,2.05706651
7.893500599,11.50762511,0.554495214,0.066386696,0.079386958,0.035800045,9.053852512,1.622244449
9.992326542,5.07203704,1.539822263,0.203499839,0.157116585,0.036163834,17.21823692,7.005198387
9.59427688,11.1670682,1.03168571,0.14608312,0.11401657,0.0367389,15.77539007,5.86337446
8.768311143,8.936718752,1.187901039,0.039349823,0.142494649,0.036873498,12.52257183,2.013459423
5.43673973,2.74422316,0.85886567,0.11229263,0.16108558,0.03687538,18.59630028,1.208737966
8.458476169,11.25293656,1.025717353,0.397128771,0.124013874,0.036948503,21.159273,5.482041885
9.178990788,4.190056148,1.121299415,0.249108602,0.125334398,0.037518089,7.267167053,5.024594299
8.717220352,3.095158784,1.472618707,0.296692015,0.170182834,0.037576881,16.52396606,4.208997317
6.16511404,5.42956208,0.90561153,0.24910193,0.14845113,0.03758034,19.99918632,2.059198027
12.01834391,9.888623032,1.984053116,0.232054735,0.169860728,0.037684368,24.75839049,5.574921263
11.2773871,10.29109924,1.01980786,0.36904615,0.09351308,0.03768567,10.6073397,3.587987059
7.5619393,8.27661816,0.66551556,0.20755504,0.0924676,0.03782582,14.38312354,3.153116036
8.18297442,6.13456868,1.27817908,0.16215387,0.16085061,0.03805767,17.57630199,2.932127473
6.777054163,5.323453844,0.806559394,0.390988076,0.114354889,0.038122625,13.58532789,6.969197026
8.411545081,3.165138564,0.949258087,0.394489352,0.110480187,0.038233094,12.24541171,2.09831823
8.577993724,7.97326934,1.22406909,0.217527943,0.147267176,0.038782736,22.11346873,1.530067568
8.425721599,12.08955607,0.779754492,0.174280022,0.10043586,0.039006363,10.74360814,5.171432982
10.44919304,5.182395344,1.929263031,0.236252069,0.187955553,0.039472792,21.35642694,8.40737821
